epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.534183166877568,0.3890716374269006,1.2344504040341044,0.5103956016177957,0.001
2,1.3320759402381048,0.460233918128655,1.1783562773881957,0.5242037411526795,0.001
3,1.2236787387502124,0.5232456140350877,1.1988572616909825,0.5221498988877654,0.001
4,1.180244901375464,0.5464912280701755,0.9725954366284747,0.6407355915065723,0.001
5,1.1313237558331406,0.5750000000000001,0.9418580518212429,0.6484453993933266,0.001
6,1.0807366210814806,0.587609649122807,0.8875129070392874,0.6725859453993933,0.001
7,1.059663869135561,0.5908260233918129,0.9567627185998961,0.6577350859453994,0.001
8,1.0309359396410267,0.6062500000000001,0.7635574715082035,0.7176440849342771,0.001
9,0.9848921131669429,0.6267178362573099,0.7372775285743004,0.7243111729019212,0.001
10,0.9770978033891198,0.6305555555555555,0.8586228476014248,0.68288675429727,0.001
11,0.9653578017190186,0.6383406432748538,0.8095580949339756,0.7123988877654196,0.001
12,0.9612743101621929,0.6427631578947368,0.9888621818187625,0.6360907482305359,0.001
13,0.9278170042916348,0.6479166666666667,0.7233897738678511,0.7269337714863499,0.001
14,0.9352009787894132,0.6497441520467836,0.7323073315065961,0.7196663296258847,0.001
15,0.8896035494511587,0.663888888888889,0.7963666070339291,0.7070273003033367,0.001
16,0.8959474926106414,0.664437134502924,0.7476647870485172,0.7279764914054601,0.001
17,0.8960011629333273,0.6697733918128655,0.7994113231814185,0.7147371081900911,0.001
18,0.8730170684948302,0.6775584795321637,0.7622419013533481,0.7112297775530839,0.001
19,0.8762517327453658,0.6704312865497076,0.8177037620267202,0.7046890798786654,0.001
20,0.8755266234191538,0.6782894736842106,0.8128512189831845,0.6902805864509606,0.001
21,0.8699760137245669,0.6723684210526315,0.5991179104461226,0.7853576845298281,0.001
22,0.8540289140584176,0.6757675438596492,0.8615779038085494,0.6811172901921133,0.001
23,0.8374494727243457,0.6913377192982456,0.7941773242728655,0.6827603640040445,0.001
24,0.8405058474568595,0.6869883040935673,0.7233977643556373,0.7336008594539939,0.001
25,0.8337677379100643,0.6881578947368421,0.7301300216552823,0.7292719919110212,0.001
26,0.8041787358403903,0.69828216374269,0.5802863770446112,0.798407482305359,0.001
27,0.8233313891622756,0.6947002923976608,0.65367032137028,0.7526541961577351,0.001
28,0.7903244626103786,0.7028874269005848,0.7612011841563291,0.7340432254802831,0.001
29,0.81130645655052,0.7100511695906433,0.919975857402003,0.6852249747219413,0.001
30,0.8049030596749824,0.694078947368421,0.5888484134230503,0.7864004044489384,0.001
31,0.7958640018750353,0.7066520467836258,0.6695706026498661,0.7657355915065723,0.001
32,0.7850641151617842,0.7068713450292398,0.5973041286302168,0.7786589989888777,0.001
33,0.7813525834278754,0.7146929824561404,0.7582728932070177,0.7247535389282103,0.001
34,0.776842514151021,0.7072002923976608,0.5531387914751851,0.8017884226491406,0.001
35,0.775877686097608,0.7095029239766082,0.624605250219966,0.7702224469160769,0.001
36,0.7892522139158863,0.707858187134503,0.6583164084789365,0.7618174924165825,0.001
37,0.7786367383093862,0.7127923976608187,0.6182275643182356,0.7770791203235592,0.001
38,0.7742457569342608,0.7130116959064328,0.5750550045523533,0.7904448938321537,0.001
39,0.7727987614640018,0.7179459064327485,0.5384380571370901,0.812247219413549,0.001
40,0.760817041174013,0.7208698830409357,0.639324969677038,0.7671890798786654,0.001
41,0.7647889256477356,0.7140716374269006,0.5791362738886545,0.7837462082912033,0.001
42,0.7563561260351661,0.7266081871345029,0.7814383645390355,0.7157166329625885,0.001
43,0.7721792937022204,0.7157529239766082,0.5881008124628733,0.7850733063700709,0.001
44,0.7359448129322097,0.7308114035087719,0.9047290350115577,0.6759036905965622,0.001
45,0.7621993305738907,0.7224780701754386,0.6141882809095605,0.7703804347826086,0.001
46,0.7538377405607213,0.7238304093567252,0.6036183026640914,0.779543731041456,0.001
47,0.7503221261571025,0.7195906432748538,0.6219401796196782,0.7807128412537918,0.001
48,0.7403057390137723,0.7254385964912281,0.5656780385693838,0.7979651162790697,0.001
49,0.7421289114227072,0.7295687134502924,0.5822801004315532,0.7875379170879676,0.001
50,0.7253403703720249,0.7298976608187134,0.5546837740166243,0.8025151668351871,0.001
