epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.3381556023282615,0.45668859649122806,1.118575810693031,0.5638496677740864,0.001
2,1.0483412021084835,0.6010599415204678,1.0554601165444353,0.6033014950166112,0.001
3,0.9368937351027428,0.6438230994152047,1.0274002607478652,0.6188745847176079,0.001
4,0.8644710703812845,0.6811038011695907,0.9499968390825183,0.6607142857142857,0.001
5,0.8256524650499835,0.6964546783625731,0.8841138478628424,0.6851121262458472,0.001
6,0.7579760683907403,0.7196637426900585,0.9552046126404474,0.6536544850498339,0.001
7,0.7230867313449842,0.7359283625730995,0.781935436434524,0.7161544850498339,0.001
8,0.7204128866742926,0.7326388888888888,0.7167895699656287,0.7464700996677741,0.001
9,0.6824609195889785,0.7514619883040936,0.8704974013705586,0.670265780730897,0.001
10,0.6481775250176938,0.764985380116959,0.7779717136954152,0.7285091362126246,0.001
11,0.6519848558812114,0.7605994152046783,0.8096593590669854,0.7110672757475083,0.001
12,0.6381760265961377,0.7655336257309941,0.7969792147361955,0.7229028239202657,0.001
13,0.6264568082116849,0.7768640350877193,0.7720248134330262,0.7277823920265781,0.001
14,0.6099263692372724,0.7750365497076024,0.6669025306784829,0.7566445182724252,0.001
15,0.5836187301759135,0.7856359649122807,0.7390649921672289,0.7319352159468439,0.001
16,0.5724579283194235,0.7881944444444444,0.6628878508196321,0.7519725913621262,0.001
17,0.5697245522897844,0.7960526315789473,0.6717661768198013,0.7641196013289036,0.001
18,0.5559738292113731,0.7922149122807017,0.6872002052706342,0.7686877076411961,0.001
19,0.5619217725960832,0.7997076023391813,0.7076027682700823,0.7365033222591362,0.001
20,0.5613397324555799,0.7907529239766082,0.7753541254720022,0.7217607973421927,0.001
21,0.5322080332110499,0.8117690058479532,0.7015696713744208,0.7415905315614618,0.001
22,0.5142084349883579,0.8154239766081871,0.680436797440052,0.7563330564784053,0.001
23,0.5245853861390847,0.8092105263157895,0.6247879542237105,0.7810423588039868,0.001
24,0.520943672946322,0.8134137426900585,0.6893588796604512,0.7617317275747508,0.001
25,0.5145059404840246,0.8139619883040936,0.7801805771887302,0.7299626245847176,0.001
26,0.5073592927938665,0.8168859649122807,0.5949106632277023,0.7982765780730896,0.001
27,0.5154143108915515,0.8152412280701754,0.661594437132048,0.7679609634551495,0.001
28,0.4918220031745078,0.8236476608187134,0.7376159841931144,0.7479235880398671,0.001
29,0.5005806992538491,0.8199926900584795,0.6280800317262494,0.7834302325581395,0.001
30,0.48575555156284606,0.8265716374269005,0.5991853576066882,0.7871677740863787,0.001
31,0.4720492701955706,0.8260233918128655,0.756406985569832,0.7379568106312292,0.001
32,0.4758312854022659,0.8324195906432749,0.7449552953936333,0.7519725913621262,0.001
33,0.4665269801360473,0.8362573099415205,0.6111303878904775,0.7822882059800663,0.001
34,0.4714059105567765,0.8320540935672515,0.8105159252882004,0.7159468438538206,0.001
35,0.4686018577096058,0.8283991228070176,0.7231900109801181,0.756125415282392,0.001
36,0.46334445575655203,0.8283991228070176,0.6168459524768729,0.7815614617940199,0.001
37,0.4611943641034832,0.8318713450292398,0.628089154529017,0.7723214285714286,0.001
38,0.44063460805088456,0.8441154970760234,0.6438112135889918,0.7659883720930233,0.001
39,0.4533676294969362,0.8331505847953217,0.6310394706074581,0.782703488372093,0.001
40,0.4359987393588002,0.8408260233918129,0.5973659808379274,0.7928779069767442,0.001
41,0.44159304561932183,0.8382675438596491,0.6760045082070106,0.7662998338870431,0.001
42,0.44069025918231375,0.8382675438596491,0.6681242898799652,0.7737749169435216,0.001
43,0.4233545541153317,0.8495979532163743,0.6364621202959571,0.7790697674418605,0.001
44,0.43776043225624406,0.8448464912280702,0.5926377048152823,0.7886212624584718,0.001
45,0.42904742791900163,0.8485014619883041,0.5965076696214288,0.7924626245847175,0.001
46,0.42691275688727,0.8464912280701754,0.6081690341234207,0.7997300664451826,0.001
47,0.41664244210598067,0.8508771929824561,0.5588785073784894,0.8120847176079734,0.001
48,0.429263112554599,0.847953216374269,0.796015382159588,0.7397217607973422,0.001
49,0.4157314399224624,0.8490497076023392,0.5738499618546907,0.8006644518272426,0.001
50,0.4133816385609016,0.8534356725146199,0.6169174934499139,0.7936046511627907,0.001
51,0.4176525338089954,0.8517909356725146,0.6519752445435801,0.7795888704318937,0.001
52,0.39515675473631473,0.8517909356725146,0.5795976495326951,0.8057516611295682,0.001
53,0.41291723684652853,0.850328947368421,0.6076901172136151,0.788828903654485,0.001
54,0.3965037679245249,0.8534356725146199,0.5943395036251046,0.7960963455149501,0.001
55,0.4064247925379123,0.8490497076023392,0.5705883601723716,0.8081395348837209,0.001
56,0.3940712864461698,0.8580043859649122,0.6852105102220247,0.7699335548172757,0.001
57,0.391633051442124,0.8594663742690059,0.6321978565565375,0.7854028239202658,0.001
58,0.4040162868372965,0.8528874269005848,0.6110055870268234,0.7912167774086379,0.001
59,0.3857374434517315,0.862390350877193,0.6772734443115633,0.7672342192691031,0.001
60,0.3967214395776827,0.8576388888888888,0.6582040564092093,0.7801079734219268,0.001
61,0.40708221748950535,0.8538011695906432,0.697187056201835,0.7668189368770764,0.001
62,0.37797784059150524,0.8686038011695907,0.5857842999488808,0.7999377076411961,0.001
63,0.39621385585037416,0.8552631578947368,0.5682879972249962,0.8048172757475083,0.001
64,0.3512139191622274,0.8720760233918129,0.6452503856271505,0.779796511627907,0.001
65,0.38349807176640943,0.86421783625731,0.6460616789584936,0.7883098006644519,0.001
66,0.3921722894349293,0.8609283625730995,0.667494072730458,0.7711794019933554,0.001
67,0.386267675598811,0.8616593567251462,0.5943507457715135,0.8008720930232558,0.001
68,0.38924428150439033,0.8609283625730995,0.5732622174329536,0.8033637873754153,0.001
69,0.3692768550047662,0.8631213450292398,0.6605829111365384,0.7801079734219268,0.001
70,0.3536794087713399,0.8709795321637427,0.6444111532250116,0.7846760797342193,0.001
71,0.38093336861123117,0.8687865497076024,0.5601465319131695,0.8084509966777408,0.001
72,0.35949068405387696,0.8680555555555556,0.6330520785305389,0.7928779069767442,0.001
73,0.3580215356437958,0.8686038011695907,0.6712571221382119,0.7830149501661129,0.001
74,0.36485019530992063,0.8686038011695907,0.5624892725934123,0.8088662790697675,0.001
75,0.36022864706945,0.8720760233918129,0.5752484535928383,0.8066860465116279,0.001
76,0.3742280958427323,0.8616593567251462,0.5894623263630756,0.7999377076411961,0.001
77,0.37266500652577095,0.8625730994152047,0.6376939558012541,0.7788621262458473,0.001
78,0.3665575829405359,0.8722587719298246,0.49837949464834014,0.8370016611295682,0.001
79,0.3557716580162271,0.8706140350877193,0.5496641074978682,0.8219476744186046,0.001
80,0.35513302438745376,0.8739035087719298,0.5590463920041572,0.8290074750830565,0.001
81,0.3543266153605709,0.8682383040935673,0.6416228602445403,0.7844684385382059,0.001
82,0.34242174494466937,0.8713450292397661,0.6200205179277894,0.8059593023255814,0.001
83,0.3495731185359216,0.8739035087719298,0.5640421226447405,0.8171719269102989,0.001
84,0.3604519166847506,0.8746345029239766,0.6557033632037251,0.7813538205980066,0.001
85,0.35498394246883036,0.8724415204678363,0.5240531750023365,0.8210132890365449,0.001
86,0.3480969872216732,0.8729897660818714,0.6184334589471651,0.7986918604651163,0.001
87,0.3523111946837247,0.8728070175438597,0.6191968867598578,0.7997300664451826,0.001
88,0.33011842758683435,0.8830409356725146,0.6525985670470914,0.7883098006644519,0.001
89,0.3514320978905722,0.8733552631578947,0.5917551734073218,0.7886212624584718,0.001
90,0.33863345617210566,0.8771929824561403,0.5526066728282807,0.8093853820598007,0.001
91,0.34439004491470016,0.8759137426900585,0.5730060755686704,0.8057516611295682,0.001
92,0.3470451226784733,0.8742690058479532,0.5096026716190715,0.8313953488372093,0.001
93,0.3394132096385747,0.8786549707602339,0.608925762174781,0.7980689368770764,0.001
94,0.3619948321441461,0.8673245614035088,0.5396052829834611,0.8157184385382059,0.001
95,0.341714543088922,0.8722587719298246,0.5495509214612634,0.820078903654485,0.001
96,0.34087399100307486,0.8781067251461988,0.6155796660933384,0.7993147840531561,0.001
97,0.3339606675030718,0.8777412280701754,0.6029865974776967,0.7965116279069767,0.001
98,0.33441831427490154,0.8788377192982456,0.6014385967580385,0.7924626245847175,0.001
99,0.3454418871551752,0.8715277777777778,0.6077006558432828,0.8135382059800663,0.001
100,0.3348113508535582,0.8793859649122807,0.5492223381649616,0.8115656146179403,0.001
