epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.2865775046292802,0.4861111111111111,1.0062378721181737,0.6362126245847176,0.001
2,1.0561427386880617,0.6012426900584795,1.0731548632300176,0.5957225913621262,0.001
3,0.9832616412674474,0.6251827485380117,0.8816172224144603,0.6662167774086378,0.001
4,0.9084784222973717,0.668859649122807,0.9021326230708943,0.6696428571428572,0.001
5,0.86577527120448,0.6822002923976608,0.8380090500726256,0.6948712624584718,0.001
6,0.8362668573159223,0.6988304093567251,0.824198977891789,0.6809593023255814,0.001
7,0.8236327242781545,0.7013888888888888,0.9661126251137534,0.658014950166113,0.001
8,0.7826897904538271,0.7167397660818714,0.7896529481161473,0.7152200996677741,0.001
9,0.7766149506757134,0.7178362573099415,0.8080121334208998,0.7143895348837209,0.001
10,0.7640494149156482,0.712171052631579,0.9312138522780219,0.6345514950166112,0.001
11,0.7363649525009749,0.7289839181286549,0.756056007950805,0.7185423588039866,0.001
12,0.7239171250870353,0.7436038011695907,0.7917389089978019,0.698297342192691,0.001
13,0.7074291837232852,0.7370248538011696,0.8042011254055556,0.6805440199335548,0.001
14,0.6861105636197921,0.7532894736842105,0.7046885871609976,0.7394102990033222,0.001
15,0.67198811859241,0.7611476608187134,0.6933959985888282,0.7314161129568106,0.001
16,0.6823759167863611,0.7525584795321637,0.7243919317112413,0.7328696013289037,0.001
17,0.6772511331310049,0.7494517543859649,0.7131960856360059,0.7370224252491694,0.001
18,0.6542814263736295,0.7648026315789473,0.8255339372296666,0.6888496677740864,0.001
19,0.6433341172442102,0.7631578947368421,0.7258871838796971,0.721968438538206,0.001
20,0.6496600505639936,0.762609649122807,0.8513264742701553,0.6743147840531561,0.001
21,0.6425219670765929,0.7640716374269005,0.7329312015411465,0.7170888704318936,0.001
22,0.6183021281197755,0.7808845029239766,0.6240290933570196,0.7721137873754153,0.001
23,0.617032260748378,0.7721125730994152,0.608819407259309,0.7774086378737542,0.001
24,0.6211064765066431,0.7797880116959064,0.751724028656649,0.709406146179402,0.001
25,0.6024648240653047,0.7810672514619883,0.6337511105419591,0.7718023255813954,0.001
26,0.6132872883252233,0.7777777777777778,0.5759687456627225,0.7837416943521593,0.001
27,0.6011452017820369,0.7823464912280702,0.6905293248073999,0.7383720930232558,0.001
28,0.6088279023417953,0.7783260233918129,0.6773481372483942,0.747093023255814,0.001
29,0.5876966569333049,0.7898391812865497,0.5906641187016354,0.7793812292358804,0.001
30,0.5709632211827744,0.7936769005847953,0.5917990639112717,0.7832225913621262,0.001
31,0.5868530382799824,0.7885599415204678,0.6376658247480559,0.7696220930232558,0.001
32,0.5979123019248421,0.7834429824561403,0.5992588983025662,0.788828903654485,0.001
33,0.5780236698382082,0.7918494152046783,0.5427128306135188,0.803156146179402,0.001
34,0.5862808901141261,0.7885599415204678,0.6441831652854764,0.7599667774086379,0.001
35,0.5630808278090425,0.7980628654970761,0.5680090261753216,0.7864410299003322,0.001
36,0.570385495690923,0.7982456140350878,0.5478811920728794,0.8057516611295682,0.001
37,0.5677507674179928,0.7933114035087719,0.5992333940988364,0.792670265780731,0.001
38,0.5614656725822137,0.7927631578947368,0.5359849006284115,0.8062707641196013,0.001
39,0.5655272316340118,0.8009868421052632,0.5473280965762083,0.809593023255814,0.001
40,0.5653450639145068,0.7969663742690059,0.5891354255551515,0.7846760797342193,0.001
41,0.5461892198488029,0.8020833333333334,0.5635885242805925,0.7864410299003322,0.001
42,0.5512712365615438,0.8073830409356725,0.5056457632156306,0.8204941860465116,0.001
43,0.543897943473176,0.8029970760233918,0.5294810590702433,0.8040905315614617,0.001
44,0.5419887924098481,0.8039108187134503,0.5835709086684293,0.7779277408637874,0.001
45,0.5532519337857327,0.7942251461988304,0.5315560310385948,0.8035714285714286,0.001
46,0.5544339020829103,0.8028143274853801,0.5859568273258764,0.7949543189368771,0.001
47,0.5486291592929795,0.8066520467836257,0.5342112923430842,0.8064784053156147,0.001
48,0.5472589300956294,0.7991593567251462,0.5598870261983816,0.7972383720930233,0.001
49,0.5487751648352858,0.8031798245614035,0.5522461858426415,0.809593023255814,0.001
50,0.5342296134048735,0.8104897660818714,0.6944155842065811,0.7404485049833888,0.001
51,0.5361691219895556,0.8108552631578947,0.5667212135916533,0.8009759136212624,0.001
52,0.5368804077220242,0.8031798245614035,0.6039473402292229,0.7801079734219268,0.001
53,0.535375210668957,0.8115862573099415,0.702282783770284,0.7289244186046512,0.001
54,0.5396387174681961,0.8050073099415205,0.5344729906077995,0.8086586378737542,0.001
55,0.5324986471593032,0.8070175438596491,0.5492545431263225,0.8035714285714286,0.001
56,0.523320705395693,0.8141447368421053,0.5422913586330969,0.8042981727574752,0.001
57,0.5474726830048171,0.8051900584795322,0.5599182324354038,0.8033637873754153,0.001
58,0.5298620568512128,0.8115862573099415,0.5019714704086614,0.8165490033222592,0.001
59,0.5158430407183212,0.8161549707602339,0.5080659335782362,0.8103197674418605,0.001
60,0.5322551873256589,0.8039108187134503,0.535427448361419,0.7992109634551495,0.001
61,0.5159308315412692,0.8135964912280702,0.5621965473820997,0.7842607973421927,0.001
62,0.5290126046547067,0.8097587719298246,0.5145129642860834,0.8088662790697675,0.001
63,0.508420801356609,0.8181652046783626,0.6128612028131651,0.7908014950166112,0.001
64,0.5213985849629369,0.8156067251461988,0.588438909327568,0.7950581395348837,0.001
65,0.5161841263591546,0.8137792397660819,0.46250241189155467,0.8364825581395349,0.001
66,0.5061075931404069,0.814875730994152,0.5087674669921398,0.8183139534883721,0.001
67,0.517459637872134,0.8110380116959064,0.47031664683721786,0.8295265780730896,0.001
68,0.5105914347396608,0.8172514619883041,0.5280158389792886,0.8042981727574752,0.001
69,0.5236389735027364,0.8132309941520468,0.5179541892437047,0.8035714285714286,0.001
70,0.4921737866835636,0.8210891812865497,0.477058180629514,0.8270348837209303,0.001
71,0.5007644928011455,0.8238304093567251,0.5273866265319115,0.8144725913621262,0.001
72,0.5132968940755778,0.8126827485380117,0.4743991313112337,0.8304609634551495,0.001
73,0.5033049168424648,0.8194444444444444,0.5431624311347341,0.8050249169435216,0.001
74,0.4939624226886278,0.8188961988304093,0.5692737788655037,0.7943313953488372,0.001
75,0.5089584908813064,0.8161549707602339,0.4898743943073029,0.8266196013289036,0.001
76,0.47957935410807706,0.8316885964912281,0.689778592350871,0.7692068106312292,0.001
77,0.504524651174134,0.8181652046783626,0.5059276921458022,0.8157184385382059,0.001
78,0.4988947006389063,0.8216374269005848,0.505943666970314,0.820078903654485,0.001
79,0.49354582579468775,0.8221856725146199,0.5612929187888323,0.7921511627906976,0.001
80,0.5026239459974724,0.8220029239766082,0.5083722155108008,0.8157184385382059,0.001
81,0.5091402940887805,0.8126827485380117,0.4799895847086297,0.8317068106312292,0.001
82,0.5113586756831024,0.8159722222222222,0.5302136778658213,0.8120847176079734,0.001
83,0.5047741597681715,0.8210891812865497,0.4842977064640023,0.834406146179402,0.001
84,0.49967498896501916,0.819078947368421,0.4826428797096014,0.8298380398671097,0.001
85,0.5035111861662906,0.8183479532163743,0.492916471389837,0.8241279069767442,0.001
86,0.4922725691443734,0.8283991228070176,0.5147486727164928,0.8202865448504983,0.001
87,0.4904235652620681,0.8216374269005848,0.47065421713646066,0.8261004983388704,0.001
88,0.46745325043274644,0.8318713450292398,0.4788083157307187,0.8357558139534884,0.001
89,0.4921543061820387,0.8229166666666666,0.4151394804723041,0.8533014950166112,0.001
90,0.4994615969514986,0.82328216374269,0.4474279428290766,0.8459302325581395,0.001
91,0.47528091251675847,0.8263888888888888,0.45440204686290303,0.8355481727574752,0.001
92,0.4955501172974793,0.8230994152046783,0.47050133893309637,0.8297342192691031,0.001
93,0.4793093059843744,0.8294956140350878,0.47005730299928855,0.8258928571428571,0.001
94,0.4867074581963277,0.8320540935672515,0.47189549746554954,0.8297342192691031,0.001
95,0.48824338142199125,0.8265716374269005,0.48076877803650014,0.8304609634551495,0.001
96,0.48410686920260826,0.8252923976608187,0.5259409252294275,0.8142649501661129,0.001
97,0.4819570917265806,0.8249269005847953,0.5371284207632375,0.8128114617940199,0.001
98,0.4960711218678115,0.8212719298245614,0.46385977503865267,0.8277616279069767,0.001
99,0.4845688804461245,0.8278508771929824,0.4409955256553583,0.8415697674418605,0.001
100,0.4696648799275097,0.8386330409356725,0.49975040043855823,0.8226744186046512,0.001
