epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.308048674411941,0.48373538011695905,1.0951091161994047,0.5807724252491694,0.001
2,1.0492929079030688,0.5902777777777778,1.0452228375645571,0.5986295681063123,0.001
3,0.9372666902535143,0.6547880116959064,0.8428635482871255,0.6883305647840531,0.001
4,0.9083955769824703,0.662828947368421,0.784378046559733,0.7139742524916943,0.001
5,0.8649896180246308,0.6822002923976608,0.8718275850595429,0.6856312292358804,0.001
6,0.8263957444687335,0.6949926900584795,0.8040530251902204,0.7005813953488372,0.001
7,0.7984883197915484,0.7081505847953217,1.061933772508488,0.6110880398671097,0.001
8,0.7776923766523077,0.7165570175438597,0.7776469619468201,0.7260174418604651,0.001
9,0.7672112306133348,0.7200292397660819,0.7705017217369967,0.7192691029900332,0.001
10,0.7352713271539811,0.7341008771929824,0.9052031598118848,0.6872923588039866,0.001
11,0.7275616368877957,0.7359283625730995,0.7400904287432515,0.7272632890365448,0.001
12,0.7244350616520608,0.73921783625731,0.8108633974956911,0.6946636212624585,0.001
13,0.6966562633625946,0.7450657894736842,0.7499480386113011,0.7143895348837209,0.001
14,0.6952543324458669,0.7414108187134503,0.7439723491322162,0.7287167774086378,0.001
15,0.6757455087806049,0.7536549707602339,0.7776832843935767,0.7033845514950167,0.001
16,0.6819109765061161,0.7587719298245614,0.7239336839248968,0.7372300664451827,0.001
17,0.6711826777597617,0.756578947368421,0.8469408166616462,0.6928986710963455,0.001
18,0.652734602229637,0.7640716374269005,0.7221078756590222,0.7405523255813954,0.001
19,0.6356061499631196,0.7755847953216374,0.8055254007841266,0.7023463455149502,0.001
20,0.6452325054428034,0.77046783625731,0.8199978999273722,0.7028654485049833,0.001
21,0.6405424882619701,0.7711988304093568,0.6926166883041692,0.7432516611295681,0.001
22,0.6269869328590861,0.774671052631579,0.721080290716748,0.7352574750830564,0.001
23,0.6291191116280375,0.7721125730994152,0.7421306995458381,0.7136627906976745,0.001
24,0.6042400004658085,0.785453216374269,0.7006197571754456,0.7493770764119602,0.001
